node,cluster,type,peak_hour,holiday_effect,weekend_effect,volatility,energy_00_06,energy_06_12,energy_12_18,energy_18_24
8029,1,"下午高峰型 / 主要部门时段: 商业, 商业, 商业, 商业",12-18,5.234596736213842e-10,-3.5023538658563287,-18.283852096892183,-0.3436154060019483,0.031217304507486478,0.22544101169516878,0.08709732203287725
8030,1,"下午高峰型 / 主要部门时段: 商业, 商业, 商业, 商业",12-18,-1.5262852316304636e-08,-3.5022826631045145,-26.555196378030633,-0.5420994486891232,0.07967045182815649,0.29950140390636787,0.1631846980370424
8031,0,"下午高峰型 / 主要部门时段: 住宅, 住宅, 住宅, 住宅",12-18,7.3333343412708805e-09,-3.502281574194399,-20.233935607601964,-0.40151568712407376,-0.05850864347259162,0.21606260371210986,0.24427090750567904
8032,0,"下午高峰型 / 主要部门时段: 住宅, 住宅, 住宅, 住宅",12-18,4.474546206296029e-09,-3.5022811474500526,-12.210249209552067,-0.35843128654177725,-0.061223120899470386,0.18199865780388622,0.2379476498026307
8033,0,"下午高峰型 / 主要部门时段: 住宅, 住宅, 住宅, 住宅",12-18,1.618472127011894e-09,-3.5022817698193487,16.794075921839365,-0.34782371414192137,-0.06643506515551582,0.19068297726409872,0.22385675780090664
8034,1,"下午高峰型 / 主要部门时段: 商业, 商业, 商业, 商业",12-18,7.773700390850106e-09,-3.5067562751802104,-85.16249255063798,-0.32307142142447415,0.05950736320407445,0.21377017901435041,0.05009274268562758
8035,1,"下午高峰型 / 主要部门时段: 商业, 商业, 商业, 商业",12-18,4.958549892555342e-09,-3.502282154761333,-17.41119313936651,-0.2892929093615143,0.037738729493462714,0.1653517990187572,0.0863406583905749
8036,1,"下午高峰型 / 主要部门时段: 商业, 商业, 商业, 商业",12-18,2.766606782592205e-09,-3.509258681834781,5.338454563857073,-0.303267195426409,0.044751153375015944,0.22434208558831067,0.03417395646308224
8037,1,"下午高峰型 / 主要部门时段: 商业, 商业, 商业, 商业",12-18,-4.565918823092383e-09,-3.5022826935416025,15.759601196805281,-0.4233418108609857,0.076812391853921,0.2771758301926605,0.06951185254455314
8038,2,"下午高峰型 / 主要部门时段: 工业, 工业, 商业, 工业",12-18,5.066206787319708e-09,-3.5022828806653292,-17.71589530345217,-0.39235801289786904,0.08219698917984558,0.282689771999559,0.027590333103707086
8039,2,"下午高峰型 / 主要部门时段: 工业, 工业, 商业, 工业",12-18,3.886504345116057e-09,-3.5022823266050533,-18.597915897895216,-0.10601267300523892,0.039642767893518005,0.08810200907077775,-0.021724633085869235
8040,2,"下午高峰型 / 主要部门时段: 工业, 工业, 商业, 工业",12-18,-2.5891935204124374e-09,-3.502282765059567,-14.819703112654684,-0.1271328699483038,0.08185185884005786,0.084463124278971,-0.0391929035214207
8041,0,"下午高峰型 / 主要部门时段: 住宅, 住宅, 住宅, 住宅",12-18,3.600625521185729e-10,-3.502281945520251,12.868117609811833,-0.38856907112477,-0.0377389253544672,0.20492762829508854,0.22166382178259855
8042,0,"下午高峰型 / 主要部门时段: 住宅, 住宅, 住宅, 住宅",12-18,-3.903693244285726e-10,-3.5022819077326095,-30.469237955440857,-0.4623317608526641,-0.011307142088387054,0.2389116971428016,0.23503480309588087
